lesson_id,level,module,lesson,module_title,communication_goal,speaking_design_brief,writing_design_brief,language_to_teach_or_refresh,delayed_check_design,status
active-a1-m03-l03,A1,3,3,Home and belongings,Say which things belong to you,Say which things belong to you. Use a spoken answer in this setting: a visitor asks about your room. The partner asks one relevant question at a time.,Say which things belong to you. Write for this purpose: a small note for a house guest. Include only the information the reader needs.,der/die/das; ein/eine; haben; formulaic location phrases with a small taught set,Explain a different room layout to a visitor using supplied picture information,draft—teacher review required
active-a1-m03-l04,A1,3,4,Home and belongings,Tell a visitor where a familiar object is,Tell a visitor where a familiar object is. Use a spoken answer in this setting: a visitor asks about your room. The partner asks one relevant question at a time.,Tell a visitor where a familiar object is. Write for this purpose: a small note for a house guest. Include only the information the reader needs.,der/die/das; ein/eine; haben; formulaic location phrases with a small taught set,Explain a different room layout to a visitor using supplied picture information,draft—teacher review required
active-a1-m04-l01,A1,4,1,My day and time,Say when you wake up and start your day,Say when you wake up and start your day. Use a spoken answer in this setting: a classmate asks about your day. The partner asks one relevant question at a time.,Say when you wake up and start your day. Write for this purpose: a message about your availability. Include only the information the reader needs.,regular present verbs; clock times; am/um; first separable-verb chunks,Use a new timetable to say when you are free without reusing your usual routine,draft—teacher review required
active-a1-m04-l02,A1,4,2,My day and time,Describe two regular daily activities,Describe two regular daily activities. Use a spoken answer in this setting: a classmate asks about your day. The partner asks one relevant question at a time.,Describe two regular daily activities. Write for this purpose: a message about your availability. Include only the information the reader needs.,regular present verbs; clock times; am/um; first separable-verb chunks,Use a new timetable to say when you are free without reusing your usual routine,draft—teacher review required
active-a1-m04-l03,A1,4,3,My day and time,Ask and answer a simple time question,Ask and answer a simple time question. Use a spoken answer in this setting: a classmate asks about your day. The partner asks one relevant question at a time.,Ask and answer a simple time question. Write for this purpose: a message about your availability. Include only the information the reader needs.,regular present verbs; clock times; am/um; first separable-verb chunks,Use a new timetable to say when you are free without reusing your usual routine,draft—teacher review required
active-a1-m04-l04,A1,4,4,My day and time,Give someone a short daily timetable,Give someone a short daily timetable. Use a spoken answer in this setting: a classmate asks about your day. The partner asks one relevant question at a time.,Give someone a short daily timetable. Write for this purpose: a message about your availability. Include only the information the reader needs.,regular present verbs; clock times; am/um; first separable-verb chunks,Use a new timetable to say when you are free without reusing your usual routine,draft—teacher review required
active-a1-m05-l01,A1,5,1,School and college basics,Say what you study or which class you attend,Say what you study or which class you attend. Use a spoken answer in this setting: a short exchange with a classmate or teacher. The partner asks one relevant question at a time.,Say what you study or which class you attend. Write for this purpose: a brief note to a teacher or course office. Include only the information the reader needs.,lernen/studieren; where/when questions; bitte; kann; simple polite absence phrases,Find a different room and send a brief absence message using a supplied timetable,draft—teacher review required
active-a1-m05-l02,A1,5,2,School and college basics,Ask where a class or room is,Ask where a class or room is. Use a spoken answer in this setting: a short exchange with a classmate or teacher. The partner asks one relevant question at a time.,Ask where a class or room is. Write for this purpose: a brief note to a teacher or course office. Include only the information the reader needs.,lernen/studieren; where/when questions; bitte; kann; simple polite absence phrases,Find a different room and send a brief absence message using a supplied timetable,draft—teacher review required
active-a1-m05-l03,A1,5,3,School and college basics,Ask for a pen or another classroom item,Ask for a pen or another classroom item. Use a spoken answer in this setting: a short exchange with a classmate or teacher. The partner asks one relevant question at a time.,Ask for a pen or another classroom item. Write for this purpose: a brief note to a teacher or course office. Include only the information the reader needs.,lernen/studieren; where/when questions; bitte; kann; simple polite absence phrases,Find a different room and send a brief absence message using a supplied timetable,draft—teacher review required
active-a1-m05-l04,A1,5,4,School and college basics,Tell a teacher you cannot attend a class,Tell a teacher you cannot attend a class. Use a spoken answer in this setting: a short exchange with a classmate or teacher. The partner asks one relevant question at a time.,Tell a teacher you cannot attend a class. Write for this purpose: a brief note to a teacher or course office. Include only the information the reader needs.,lernen/studieren; where/when questions; bitte; kann; simple polite absence phrases,Find a different room and send a brief absence message using a supplied timetable,draft—teacher review required
active-a1-m06-l01,A1,6,1,First words at work,Say your job or everyday role,Say your job or everyday role. Use a spoken answer in this setting: a friendly workplace introduction. The partner asks one relevant question at a time.,Say your job or everyday role. Write for this purpose: a short note to a colleague. Include only the information the reader needs.,arbeiten; basic job nouns; present tense; can/help chunks; du versus Sie as context requires,Introduce a fictional role and ask a new colleague for a specific item,draft—teacher review required
active-a1-m06-l02,A1,6,2,First words at work,Describe one simple work activity,Describe one simple work activity. Use a spoken answer in this setting: a friendly workplace introduction. The partner asks one relevant question at a time.,Describe one simple work activity. Write for this purpose: a short note to a colleague. Include only the information the reader needs.,arbeiten; basic job nouns; present tense; can/help chunks; du versus Sie as context requires,Introduce a fictional role and ask a new colleague for a specific item,draft—teacher review required
active-a1-m06-l03,A1,6,3,First words at work,Ask a colleague for a basic item or help,Ask a colleague for a basic item or help. Use a spoken answer in this setting: a friendly workplace introduction. The partner asks one relevant question at a time.,Ask a colleague for a basic item or help. Write for this purpose: a short note to a colleague. Include only the information the reader needs.,arbeiten; basic job nouns; present tense; can/help chunks; du versus Sie as context requires,Introduce a fictional role and ask a new colleague for a specific item,draft—teacher review required
active-a1-m06-l04,A1,6,4,First words at work,Say when a task or workday starts and ends,Say when a task or workday starts and ends. Use a spoken answer in this setting: a friendly workplace introduction. The partner asks one relevant question at a time.,Say when a task or workday starts and ends. Write for this purpose: a short note to a colleague. Include only the information the reader needs.,arbeiten; basic job nouns; present tense; can/help chunks; du versus Sie as context requires,Introduce a fictional role and ask a new colleague for a specific item,draft—teacher review required
active-a1-m07-l01,A1,7,1,At a café and restaurant,Name a food or drink you like,Name a food or drink you like. Use a spoken answer in this setting: a cooperative server asks one question at a time. The partner asks one relevant question at a time.,Name a food or drink you like. Write for this purpose: a short order or message about a meal. Include only the information the reader needs.,möchte; bitte; gern; numbers and prices; kein; no unexplained advanced negotiation,Order a different item from a short new menu and respond to a simple follow-up,draft—teacher review required
active-a1-m07-l02,A1,7,2,At a café and restaurant,Order one drink politely,Order one drink politely. Use a spoken answer in this setting: a cooperative server asks one question at a time. The partner asks one relevant question at a time.,Order one drink politely. Write for this purpose: a short order or message about a meal. Include only the information the reader needs.,möchte; bitte; gern; numbers and prices; kein; no unexplained advanced negotiation,Order a different item from a short new menu and respond to a simple follow-up,draft—teacher review required
active-a1-m07-l03,A1,7,3,At a café and restaurant,Add a simple food preference to an order,Add a simple food preference to an order. Use a spoken answer in this setting: a cooperative server asks one question at a time. The partner asks one relevant question at a time.,Add a simple food preference to an order. Write for this purpose: a short order or message about a meal. Include only the information the reader needs.,möchte; bitte; gern; numbers and prices; kein; no unexplained advanced negotiation,Order a different item from a short new menu and respond to a simple follow-up,draft—teacher review required
active-a1-m07-l04,A1,7,4,At a café and restaurant,Ask for the bill and say thanks,Ask for the bill and say thanks. Use a spoken answer in this setting: a cooperative server asks one question at a time. The partner asks one relevant question at a time.,Ask for the bill and say thanks. Write for this purpose: a short order or message about a meal. Include only the information the reader needs.,möchte; bitte; gern; numbers and prices; kein; no unexplained advanced negotiation,Order a different item from a short new menu and respond to a simple follow-up,draft—teacher review required
active-a1-m08-l01,A1,8,1,Everyday shopping,Name what you need to buy,Name what you need to buy. Use a spoken answer in this setting: a routine shop exchange. The partner asks one relevant question at a time.,Name what you need to buy. Write for this purpose: a shopping request for a housemate. Include only the information the reader needs.,brauchen; simple accusative chunks; numbers; cost/size questions; this one please,Buy unfamiliar supplied items with different quantities and prices,draft—teacher review required
active-a1-m08-l02,A1,8,2,Everyday shopping,Ask how much one item costs,Ask how much one item costs. Use a spoken answer in this setting: a routine shop exchange. The partner asks one relevant question at a time.,Ask how much one item costs. Write for this purpose: a shopping request for a housemate. Include only the information the reader needs.,brauchen; simple accusative chunks; numbers; cost/size questions; this one please,Buy unfamiliar supplied items with different quantities and prices,draft—teacher review required
active-a1-m08-l03,A1,8,3,Everyday shopping,Ask for a quantity or a size,Ask for a quantity or a size. Use a spoken answer in this setting: a routine shop exchange. The partner asks one relevant question at a time.,Ask for a quantity or a size. Write for this purpose: a shopping request for a housemate. Include only the information the reader needs.,brauchen; simple accusative chunks; numbers; cost/size questions; this one please,Buy unfamiliar supplied items with different quantities and prices,draft—teacher review required
active-a1-m08-l04,A1,8,4,Everyday shopping,Choose an item and complete a simple purchase,Choose an item and complete a simple purchase. Use a spoken answer in this setting: a routine shop exchange. The partner asks one relevant question at a time.,Choose an item and complete a simple purchase. Write for this purpose: a shopping request for a housemate. Include only the information the reader needs.,brauchen; simple accusative chunks; numbers; cost/size questions; this one please,Buy unfamiliar supplied items with different quantities and prices,draft—teacher review required
active-a1-m09-l01,A1,9,1,Around town,Ask where a nearby place is,Ask where a nearby place is. Use a spoken answer in this setting: a helpful local or ticket clerk. The partner asks one relevant question at a time.,Ask where a nearby place is. Write for this purpose: a short message explaining where to meet. Include only the information the reader needs.,wo/wohin; links/rechts/geradeaus; nach/zu as chunks; destination and time expressions,Find a different destination on a small map and buy a ticket for a new route,draft—teacher review required
active-a1-m09-l02,A1,9,2,Around town,Understand and give one or two simple directions,Understand and give one or two simple directions. Use a spoken answer in this setting: a helpful local or ticket clerk. The partner asks one relevant question at a time.,Understand and give one or two simple directions. Write for this purpose: a short message explaining where to meet. Include only the information the reader needs.,wo/wohin; links/rechts/geradeaus; nach/zu as chunks; destination and time expressions,Find a different destination on a small map and buy a ticket for a new route,draft—teacher review required
active-a1-m09-l03,A1,9,3,Around town,Ask about a bus or train destination,Ask about a bus or train destination. Use a spoken answer in this setting: a helpful local or ticket clerk. The partner asks one relevant question at a time.,Ask about a bus or train destination. Write for this purpose: a short message explaining where to meet. Include only the information the reader needs.,wo/wohin; links/rechts/geradeaus; nach/zu as chunks; destination and time expressions,Find a different destination on a small map and buy a ticket for a new route,draft—teacher review required
active-a1-m09-l04,A1,9,4,Around town,Buy a simple ticket using supplied details,Buy a simple ticket using supplied details. Use a spoken answer in this setting: a helpful local or ticket clerk. The partner asks one relevant question at a time.,Buy a simple ticket using supplied details. Write for this purpose: a short message explaining where to meet. Include only the information the reader needs.,wo/wohin; links/rechts/geradeaus; nach/zu as chunks; destination and time expressions,Find a different destination on a small map and buy a ticket for a new route,draft—teacher review required
active-a1-m10-l01,A1,10,1,A small trip,Say where and when you are travelling,Say where and when you are travelling. Use a spoken answer in this setting: a routine check-in with a helpful receptionist. The partner asks one relevant question at a time.,Say where and when you are travelling. Write for this purpose: a short travel message or accommodation note. Include only the information the reader needs.,present for future with time; reservation/name chunks; breakfast/Wi-Fi questions,Check in with fictional booking details and ask a different practical question,draft—teacher review required
active-a1-m10-l02,A1,10,2,A small trip,Give your name at a hotel or hostel,Give your name at a hotel or hostel. Use a spoken answer in this setting: a routine check-in with a helpful receptionist. The partner asks one relevant question at a time.,Give your name at a hotel or hostel. Write for this purpose: a short travel message or accommodation note. Include only the information the reader needs.,present for future with time; reservation/name chunks; breakfast/Wi-Fi questions,Check in with fictional booking details and ask a different practical question,draft—teacher review required
active-a1-m10-l03,A1,10,3,A small trip,Ask one practical question about your stay,Ask one practical question about your stay. Use a spoken answer in this setting: a routine check-in with a helpful receptionist. The partner asks one relevant question at a time.,Ask one practical question about your stay. Write for this purpose: a short travel message or accommodation note. Include only the information the reader needs.,present for future with time; reservation/name chunks; breakfast/Wi-Fi questions,Check in with fictional booking details and ask a different practical question,draft—teacher review required
active-a1-m10-l04,A1,10,4,A small trip,Send a short message from your trip,Send a short message from your trip. Use a spoken answer in this setting: a routine check-in with a helpful receptionist. The partner asks one relevant question at a time.,Send a short message from your trip. Write for this purpose: a short travel message or accommodation note. Include only the information the reader needs.,present for future with time; reservation/name chunks; breakfast/Wi-Fi questions,Check in with fictional booking details and ask a different practical question,draft—teacher review required
active-a1-m11-l01,A1,11,1,Feeling well and asking for help,Say how you feel today,Say how you feel today. Use a spoken answer in this setting: a basic receptionist or pharmacy exchange. The partner asks one relevant question at a time.,Say how you feel today. Write for this purpose: a brief absence or appointment note. Include only the information the reader needs.,mir geht es; ich habe; body/symptom chunks; date/time; no diagnosis tasks,Use a fictional symptom and schedule to request a suitable appointment,draft—teacher review required
active-a1-m11-l02,A1,11,2,Feeling well and asking for help,Name a simple symptom or immediate need,Name a simple symptom or immediate need. Use a spoken answer in this setting: a basic receptionist or pharmacy exchange. The partner asks one relevant question at a time.,Name a simple symptom or immediate need. Write for this purpose: a brief absence or appointment note. Include only the information the reader needs.,mir geht es; ich habe; body/symptom chunks; date/time; no diagnosis tasks,Use a fictional symptom and schedule to request a suitable appointment,draft—teacher review required
active-a1-m11-l03,A1,11,3,Feeling well and asking for help,Ask for a routine appointment time,Ask for a routine appointment time. Use a spoken answer in this setting: a basic receptionist or pharmacy exchange. The partner asks one relevant question at a time.,Ask for a routine appointment time. Write for this purpose: a brief absence or appointment note. Include only the information the reader needs.,mir geht es; ich habe; body/symptom chunks; date/time; no diagnosis tasks,Use a fictional symptom and schedule to request a suitable appointment,draft—teacher review required
active-a1-m11-l04,A1,11,4,Feeling well and asking for help,Tell someone you are ill and cannot come,Tell someone you are ill and cannot come. Use a spoken answer in this setting: a basic receptionist or pharmacy exchange. The partner asks one relevant question at a time.,Tell someone you are ill and cannot come. Write for this purpose: a brief absence or appointment note. Include only the information the reader needs.,mir geht es; ich habe; body/symptom chunks; date/time; no diagnosis tasks,Use a fictional symptom and schedule to request a suitable appointment,draft—teacher review required
active-a1-m12-l01,A1,12,1,"Friends, hobbies and simple plans",Say what you like doing in your free time,Say what you like doing in your free time. Use a spoken answer in this setting: a familiar social plan with a supportive friend. The partner asks one relevant question at a time.,Say what you like doing in your free time. Write for this purpose: a short invitation and reply. Include only the information the reader needs.,gern; möchte/kann; und/aber; invitations; polite no; simple meeting expressions,Plan a different activity from two supplied choices with a new availability card,draft—teacher review required
active-a1-m12-l02,A1,12,2,"Friends, hobbies and simple plans",Invite a friend to a familiar activity,Invite a friend to a familiar activity. Use a spoken answer in this setting: a familiar social plan with a supportive friend. The partner asks one relevant question at a time.,Invite a friend to a familiar activity. Write for this purpose: a short invitation and reply. Include only the information the reader needs.,gern; möchte/kann; und/aber; invitations; polite no; simple meeting expressions,Plan a different activity from two supplied choices with a new availability card,draft—teacher review required
active-a1-m12-l03,A1,12,3,"Friends, hobbies and simple plans",Accept or politely decline a simple invitation,Accept or politely decline a simple invitation. Use a spoken answer in this setting: a familiar social plan with a supportive friend. The partner asks one relevant question at a time.,Accept or politely decline a simple invitation. Write for this purpose: a short invitation and reply. Include only the information the reader needs.,gern; möchte/kann; und/aber; invitations; polite no; simple meeting expressions,Plan a different activity from two supplied choices with a new availability card,draft—teacher review required
active-a1-m12-l04,A1,12,4,"Friends, hobbies and simple plans","Agree on a day, time and place","Agree on a day, time and place. Use a spoken answer in this setting: a familiar social plan with a supportive friend. The partner asks one relevant question at a time.","Agree on a day, time and place. Write for this purpose: a short invitation and reply. Include only the information the reader needs.",gern; möchte/kann; und/aber; invitations; polite no; simple meeting expressions,Plan a different activity from two supplied choices with a new availability card,draft—teacher review required
active-a2-m01-l01,A2,1,1,People and recent experiences,Describe a person beyond basic identity,Describe a person beyond basic identity. Use a spoken answer in this setting: a conversation about a familiar event. The partner asks one relevant question at a time.,Describe a person beyond basic identity. Write for this purpose: a short personal update. Include only the information the reader needs.,A1 identity/routines; introduce or refresh high-frequency Perfekt; time sequence; simple reasons,Discuss a different recent event with information you have not rehearsed,draft—teacher review required
active-a2-m01-l02,A2,1,2,People and recent experiences,Tell a friend about a recent family or social event,Tell a friend about a recent family or social event. Use a spoken answer in this setting: a conversation about a familiar event. The partner asks one relevant question at a time.,Tell a friend about a recent family or social event. Write for this purpose: a short personal update. Include only the information the reader needs.,A1 identity/routines; introduce or refresh high-frequency Perfekt; time sequence; simple reasons,Discuss a different recent event with information you have not rehearsed,draft—teacher review required
active-a2-m01-l03,A2,1,3,People and recent experiences,Explain a small change in your routine,Explain a small change in your routine. Use a spoken answer in this setting: a conversation about a familiar event. The partner asks one relevant question at a time.,Explain a small change in your routine. Write for this purpose: a short personal update. Include only the information the reader needs.,A1 identity/routines; introduce or refresh high-frequency Perfekt; time sequence; simple reasons,Discuss a different recent event with information you have not rehearsed,draft—teacher review required
active-a2-m01-l04,A2,1,4,People and recent experiences,Ask follow-up questions about another person’s experience,Ask follow-up questions about another person’s experience. Use a spoken answer in this setting: a conversation about a familiar event. The partner asks one relevant question at a time.,Ask follow-up questions about another person’s experience. Write for this purpose: a short personal update. Include only the information the reader needs.,A1 identity/routines; introduce or refresh high-frequency Perfekt; time sequence; simple reasons,Discuss a different recent event with information you have not rehearsed,draft—teacher review required
active-a2-m02-l01,A2,2,1,Living together,Describe what you need in a home,Describe what you need in a home. Use a spoken answer in this setting: a routine household discussion. The partner asks one relevant question at a time.,Describe what you need in a home. Write for this purpose: a practical message to a housemate or landlord. Include only the information the reader needs.,location/destination phrases; comparisons; modal verbs; request chunks,Choose a different room and resolve a new routine household issue,draft—teacher review required
active-a2-m02-l02,A2,2,2,Living together,Compare two simple accommodation options,Compare two simple accommodation options. Use a spoken answer in this setting: a routine household discussion. The partner asks one relevant question at a time.,Compare two simple accommodation options. Write for this purpose: a practical message to a housemate or landlord. Include only the information the reader needs.,location/destination phrases; comparisons; modal verbs; request chunks,Choose a different room and resolve a new routine household issue,draft—teacher review required
active-a2-m02-l03,A2,2,3,Living together,Explain a routine household problem,Explain a routine household problem. Use a spoken answer in this setting: a routine household discussion. The partner asks one relevant question at a time.,Explain a routine household problem. Write for this purpose: a practical message to a housemate or landlord. Include only the information the reader needs.,location/destination phrases; comparisons; modal verbs; request chunks,Choose a different room and resolve a new routine household issue,draft—teacher review required
active-a2-m02-l04,A2,2,4,Living together,Agree on a shared chore or house rule,Agree on a shared chore or house rule. Use a spoken answer in this setting: a routine household discussion. The partner asks one relevant question at a time.,Agree on a shared chore or house rule. Write for this purpose: a practical message to a housemate or landlord. Include only the information the reader needs.,location/destination phrases; comparisons; modal verbs; request chunks,Choose a different room and resolve a new routine household issue,draft—teacher review required
active-a2-m03-l01,A2,3,1,"School, college and learning",Explain your study schedule and learning habits,Explain your study schedule and learning habits. Use a spoken answer in this setting: a study or course-information exchange. The partner asks one relevant question at a time.,Explain your study schedule and learning habits. Write for this purpose: a practical email to a classmate or teacher. Include only the information the reader needs.,question forms; learning vocabulary; past/time; weil; polite requests,Respond to a new timetable and an unclear assignment instruction,draft—teacher review required
active-a2-m03-l02,A2,3,2,"School, college and learning",Ask a teacher to explain an instruction,Ask a teacher to explain an instruction. Use a spoken answer in this setting: a study or course-information exchange. The partner asks one relevant question at a time.,Ask a teacher to explain an instruction. Write for this purpose: a practical email to a classmate or teacher. Include only the information the reader needs.,question forms; learning vocabulary; past/time; weil; polite requests,Respond to a new timetable and an unclear assignment instruction,draft—teacher review required
active-a2-m03-l03,A2,3,3,"School, college and learning",Arrange a small study session,Arrange a small study session. Use a spoken answer in this setting: a study or course-information exchange. The partner asks one relevant question at a time.,Arrange a small study session. Write for this purpose: a practical email to a classmate or teacher. Include only the information the reader needs.,question forms; learning vocabulary; past/time; weil; polite requests,Respond to a new timetable and an unclear assignment instruction,draft—teacher review required
active-a2-m03-l04,A2,3,4,"School, college and learning",Explain a missed class and ask what to catch up on,Explain a missed class and ask what to catch up on. Use a spoken answer in this setting: a study or course-information exchange. The partner asks one relevant question at a time.,Explain a missed class and ask what to catch up on. Write for this purpose: a practical email to a classmate or teacher. Include only the information the reader needs.,question forms; learning vocabulary; past/time; weil; polite requests,Respond to a new timetable and an unclear assignment instruction,draft—teacher review required
active-a2-m04-l01,A2,4,1,Everyday office communication,Describe what you are working on,Describe what you are working on. Use a spoken answer in this setting: a routine colleague exchange. The partner asks one relevant question at a time.,Describe what you are working on. Write for this purpose: a concise workplace update. Include only the information the reader needs.,present/Perfekt; basic sequencing; dative/accusative chunks; reasons; time estimates,Update a different task when one resource is missing,draft—teacher review required
active-a2-m04-l02,A2,4,2,Everyday office communication,Ask a colleague for information or assistance,Ask a colleague for information or assistance. Use a spoken answer in this setting: a routine colleague exchange. The partner asks one relevant question at a time.,Ask a colleague for information or assistance. Write for this purpose: a concise workplace update. Include only the information the reader needs.,present/Perfekt; basic sequencing; dative/accusative chunks; reasons; time estimates,Update a different task when one resource is missing,draft—teacher review required
active-a2-m04-l03,A2,4,3,Everyday office communication,Give a short progress update,Give a short progress update. Use a spoken answer in this setting: a routine colleague exchange. The partner asks one relevant question at a time.,Give a short progress update. Write for this purpose: a concise workplace update. Include only the information the reader needs.,present/Perfekt; basic sequencing; dative/accusative chunks; reasons; time estimates,Update a different task when one resource is missing,draft—teacher review required
active-a2-m04-l04,A2,4,4,Everyday office communication,Explain a delay and suggest a realistic next time,Explain a delay and suggest a realistic next time. Use a spoken answer in this setting: a routine colleague exchange. The partner asks one relevant question at a time.,Explain a delay and suggest a realistic next time. Write for this purpose: a concise workplace update. Include only the information the reader needs.,present/Perfekt; basic sequencing; dative/accusative chunks; reasons; time estimates,Update a different task when one resource is missing,draft—teacher review required
active-a2-m05-l01,A2,5,1,Eating out with preferences,Ask about menu ingredients,Ask about menu ingredients. Use a spoken answer in this setting: a routine restaurant exchange with one change. The partner asks one relevant question at a time.,Ask about menu ingredients. Write for this purpose: a reservation or meal-planning message. Include only the information the reader needs.,food vocabulary; polite questions; negation; comparisons; conditional request chunks,Order from another menu and handle a different unavailable item; never assess medical safety,draft—teacher review required
active-a2-m05-l02,A2,5,2,Eating out with preferences,Explain a food preference or dietary restriction,Explain a food preference or dietary restriction. Use a spoken answer in this setting: a routine restaurant exchange with one change. The partner asks one relevant question at a time.,Explain a food preference or dietary restriction. Write for this purpose: a reservation or meal-planning message. Include only the information the reader needs.,food vocabulary; polite questions; negation; comparisons; conditional request chunks,Order from another menu and handle a different unavailable item; never assess medical safety,draft—teacher review required
active-a2-m05-l03,A2,5,3,Eating out with preferences,Correct a simple mistake in an order,Correct a simple mistake in an order. Use a spoken answer in this setting: a routine restaurant exchange with one change. The partner asks one relevant question at a time.,Correct a simple mistake in an order. Write for this purpose: a reservation or meal-planning message. Include only the information the reader needs.,food vocabulary; polite questions; negation; comparisons; conditional request chunks,Order from another menu and handle a different unavailable item; never assess medical safety,draft—teacher review required
active-a2-m05-l04,A2,5,4,Eating out with preferences,Arrange a meal with friends,Arrange a meal with friends. Use a spoken answer in this setting: a routine restaurant exchange with one change. The partner asks one relevant question at a time.,Arrange a meal with friends. Write for this purpose: a reservation or meal-planning message. Include only the information the reader needs.,food vocabulary; polite questions; negation; comparisons; conditional request chunks,Order from another menu and handle a different unavailable item; never assess medical safety,draft—teacher review required
active-a2-m06-l01,A2,6,1,Shopping and everyday services,Compare products and explain a preference,Compare products and explain a preference. Use a spoken answer in this setting: a shop or service-desk conversation. The partner asks one relevant question at a time.,Compare products and explain a preference. Write for this purpose: a short customer-service request. Include only the information the reader needs.,adjective descriptions; comparisons; past purchase; reason/request phrases,Explain a different item problem using new receipt and delivery details,draft—teacher review required
active-a2-m06-l02,A2,6,2,Shopping and everyday services,Ask to exchange an item,Ask to exchange an item. Use a spoken answer in this setting: a shop or service-desk conversation. The partner asks one relevant question at a time.,Ask to exchange an item. Write for this purpose: a short customer-service request. Include only the information the reader needs.,adjective descriptions; comparisons; past purchase; reason/request phrases,Explain a different item problem using new receipt and delivery details,draft—teacher review required
active-a2-m06-l03,A2,6,3,Shopping and everyday services,Explain a straightforward delivery problem,Explain a straightforward delivery problem. Use a spoken answer in this setting: a shop or service-desk conversation. The partner asks one relevant question at a time.,Explain a straightforward delivery problem. Write for this purpose: a short customer-service request. Include only the information the reader needs.,adjective descriptions; comparisons; past purchase; reason/request phrases,Explain a different item problem using new receipt and delivery details,draft—teacher review required
active-a2-m06-l04,A2,6,4,Shopping and everyday services,Arrange a repair or service time,Arrange a repair or service time. Use a spoken answer in this setting: a shop or service-desk conversation. The partner asks one relevant question at a time.,Arrange a repair or service time. Write for this purpose: a short customer-service request. Include only the information the reader needs.,adjective descriptions; comparisons; past purchase; reason/request phrases,Explain a different item problem using new receipt and delivery details,draft—teacher review required
