30|Mila tells Sara about the key at work.|Sara calls Garden 17 a secret garden before customers arrive.|Mila turns her attention back to her bakery duties.|A photo of the roses makes the story feel personal.
31|Mila practices asking customers what they are looking for.|She helps them find bread and a nut-free cake.|The same phrase makes her think of finding Mr Weber.|Jonas arranges their next visit to the garden office.
32|Mila and Jonas meet Mr Brandt at the garden office.|Mila explains that they are looking for Mr Weber.|Mr Brandt cannot share his address, but offers to forward a message.|Mila leaves her number and news of the found key.
33|Mila repeatedly checks her phone, but nobody has replied.|Sara reminds her that Mr Weber may need time.|Mila continues with ordinary errands after work.|An evening alert is only an advertisement, so she waits.
34|An unfamiliar number calls Mila during her break.|Anna Weber introduces herself as Mr Weber's daughter.|Anna says her father wants to speak with Mila.|They arrange an evening call, and Mila tells Jonas the news.
35|Mila receives the promised call from Mr Weber.|He asks about the key and listens to where she found it.|Mr Weber realizes Mila bought his old bicycle.|He lets them visit the garden with Mrs Albers.
36|Mila asks whether Mr Weber will visit the gardens soon.|He explains that walking is difficult and he lives with Anna.|He gives them permission to open the old shed carefully.|Mila arranges a Saturday visit while respecting his wishes.
37|Mila tries the key in the shed door.|Jonas helps with the stiff door until the lock clicks.|Inside, they find tools, jackets and the smell of earth.|Mila leaves Mr Weber's belongings untouched.
38|Jonas opens a window and discovers a photograph.|The picture shows Mr Weber celebrating with other gardeners.|Mrs Albers remembers their spring festival and a young apple tree.|The photo helps Mila imagine the garden's happier past.
39|Mrs Albers waters the roses but cannot maintain the whole garden.|Mila asks whether Mr Weber might welcome help.|Jonas takes care not to disturb the shed.|They decide to ask Mr Weber what he wants before making plans.
40|Mila describes the garden to Mr Weber over the phone.|He is glad someone has visited it.|When Mila offers help, Mr Weber says he may need it.|They arrange to meet at a café on Tuesday.
41|Mila and Jonas arrive early for their café meeting.|Anna introduces them to her father, Karl Weber.|Mila returns his old key, and he thanks her.|They ask how they can help with his garden.
42|Mr Weber explains that walking has been difficult since winter.|He had hoped to return to the garden sooner.|Anna says he still wants to visit, but must take things slowly.|Mila offers to look after Garden 17.
43|Mr Weber mentions the summer festival in eight weeks.|He hopes the grass, paths and plants can be cared for.|He wants a living garden, not a perfect one.|Mr Brandt must approve Mila and Jonas helping there.
44|Mila knows some gardening but admits she has much to learn.|Mr Weber encourages her to observe and ask Mrs Albers.|Jonas offers his skills with wood and tools.|Anna sees that their different abilities make a good team.
45|Mr Weber gives Mila a second key for the garden gate.|Mila promises to keep both keys safe.|He lets her hold them until the summer festival.|Anna shares her number in case they need to call.
46|Mr Brandt confirms that Mr Weber has told him about the plan.|He explains the rules for working in the gardens.|Mila learns to conserve water and use fire only where allowed.|Mr Brandt records their names and shows them the compost area.
47|Mila and Jonas sit down to make a work list.|They list the overgrown paths, roses, shed and fence.|Mila writes down a question about what to plant.|The list is long, so they decide to start small.
48|Jonas checks the old mower while Mila finds garden shears.|Mila clears long grass and branches from a path.|After an hour, the stone paving becomes visible again.|They rest under the apple tree and protect a small snail.
49|The lawn mower refuses to start.|Jonas needs better tools to inspect it.|He cannot carry it away on his bicycle.|They continue with hand tools and avoid using unsafe equipment.
50|Mila calls Mr Weber about the mower and possible plants.|He suggests familiar vegetables they can care for.|Mila notes the sunny beds and a spot for parsley.|Mr Weber especially wants the roses to remain.
51|Mila tells Sara about the garden while they prepare the bakery.|Sara jokes that Mila has found a second job.|She remembers helping her grandmother grow vegetables.|Sara agrees to visit on Saturday after work.
52|Jonas repairs the mower and brings it back to Garden 17.|It starts, to their relief.|He cuts the grass carefully around hidden stones and branches.|Mila clears the obstacles, and the garden opens up.
53|Nele from the next garden introduces herself.|She is glad Garden 17 is being cared for again.|Mila explains they are helping until the summer festival.|Nele offers them an extra watering can.
54|Mila shops for gloves, plants and gardening supplies.|She waits for advice before buying tomatoes.|She chooses familiar parsley and radish seeds.|Mrs Berg notices how serious Mila has become about gardening.
55|Mila asks Mrs Albers where to plant her seeds.|Mrs Albers finds a sunny bed for the radishes.|She chooses a smaller place for parsley and shows how to prepare it.|Mila learns that seeds need gentle watering.
56|Sara arrives with strawberries and clothes for garden work.|Mila introduces her to Jonas and Mrs Albers.|They weed a bed while Jonas repairs the fence.|The group rests together and enjoys Sara's strawberries.
57|Mrs Albers shows Mila how deep to make the seed rows.|Mila and Sara sow and water the radishes.|They learn that they must wait patiently for growth.|Mila labels the bed and notes how to water it.
58|Jonas photographs the improved path, grass and fence.|Mila sends Anna a picture of their work.|Mr Weber thanks them and reminds them to rest.|His quick reply makes the team smile.
59|Mr Weber asks how his old bicycle is doing.|Mila tells him Jonas repaired its chain.|Mr Weber remembers hiding the key under the basket.|The mystery is solved, and the bicycle has brought new friends together.
60|Mila spends a quiet evening alone in Garden 17.|She sees progress but knows more work remains.|She promises Mr Weber they will ask when they need help.|Mila locks the shed and commits to bringing the garden back to life.
61|Mila, Jonas and Sara meet to plan another garden day.|They have different ideas about which job should come first.|Mila suggests cleaning the shed together before splitting up.|They agree and begin sorting pots and boxes.
62|The shed contains useful, broken and unfamiliar things.|Sara and Jonas find old gloves, signs, a lamp and a chair.|Jonas offers to repair the chair; they set aside an unknown box.|They clear the floor without throwing away Mr Weber's belongings.
63|Mila wants to prepare a tomato bed, but Jonas sees a fence problem.|Both explain why their task matters.|Their disagreement grows tense, and Sara notices.|Sara divides the work so both jobs can be done.
64|Jonas fixes the fence while Mila and Sara prepare the bed.|Sara calls everyone over for a water break.|Jonas and Mila apologize for their sharp words.|They discover they can disagree and still work well together.
65|Mila finds tiny green radish leaves in the garden.|She bends down to greet them and laughs at herself.|She sends a photo to the others and Mr Weber.|Careful watering brings the first visible result of their work.
66|Mila buys tomato plants before her bakery shift.|Mrs Albers has recommended two easy varieties.|Mila carries four plants carefully in her blue bicycle basket.|She leaves them in shade until she can plant them after work.
67|Mila and Jonas plant the tomatoes together.|They make holes, settle the roots and add support stakes.|The plants look small now, but Mila expects them to grow.|She ties them gently and records their positions in her notebook.
68|A sick coworker makes Mila and Sara work longer at the bakery.|Sara needs a break from garden work this week.|Mila is disappointed but respects her decision.|She realizes that helping must remain voluntary.
69|Nele warns Mila that wind has bent a tomato plant.|Mila cannot leave work to fix it.|She asks Nele to tie the plant up carefully.|The plant is safe when Mila arrives, thanks to her neighbor.
70|Jonas takes the wobbly old chair away for repair.|He brings it back with a firm leg and seat.|Mila tests it and remembers Mr Weber sitting by the table.|Mr Weber welcomes the repair and recalls drinking coffee there.
71|Mila begins Saturday with too many things on her list.|She realizes she cannot finish everything.|She chooses shopping, laundry and a small favor for Mrs Berg.|Mila reaches the garden later, without rushing.
72|Sara waters the radishes, but the soil becomes too wet.|Mila gently points out the problem.|Mrs Albers explains that young plants also need air in the soil.|They stop watering and note the lesson on the board.
73|Sara worries that the parsley has not appeared yet.|Mrs Albers says it may simply need more time.|Mila and Sara clear branches from a path instead.|They find painted stones and ask Mr Weber about their history.
74|Mr King calls Mila into the bakery office.|He trusts her to prepare the cash register on some mornings.|Mila welcomes the responsibility and notes her new hours.|She realizes she must plan garden visits around work.
75|Mila tells the group that her working hours have changed.|The friends share the watering and weekend visits.|They keep the plan flexible so nobody feels obliged.|Mr Weber approves their approach, especially on hot days.
76|Mila and Jonas finish cleaning the shed.|They repair its window and brighten the space.|Mr Weber lets them use an old blackboard they find.|Mila writes the week's garden tasks where everyone can see them.
77|Mr Brandt visits and admires the work in Garden 17.|He notices the clear path, repaired fence and tomatoes.|He reminds Mila that gardens can contribute to the summer festival.|Mila takes home an information sheet to discuss with the others.
78|The friends discuss what Garden 17 could offer at the festival.|Sara suggests food, while Jonas suggests a welcoming table.|Mila wonders whether they can share something they grow.|They postpone a decision and plan to ask Mr Weber.
79|Mrs Albers checks a tiny radish under the soil.|Mila and Sara are delighted, though it needs more time.|Mr Weber replies with a memory of picking his first one too early.|His story links their new garden experience with his past.
80|The friends put away tools after another garden day.|Mila thinks how recently she met them.|They solve problems together, even when plans go wrong.|She rides home with soil and a leaf on her clothes.
81|Mila wakes before dawn for her first early bakery shift.|She cycles through quiet streets to meet Mr King.|He teaches her to count change and prepare the register.|Sara arrives to find everything ready, though Mila is tired.
82|After work, Mila visits Mrs Albers in the gardens.|They find the first tiny parsley leaves.|Mila learns that some plants simply take longer.|Mrs Albers gives her herbs to take home for dinner.
83|Mila collects a package from her mother after work.|Laundry and family duties leave little time for the garden.|She asks Jonas to check the tomatoes.|Mila learns that responsibility can include asking for help.
84|Jonas's photo shows a growing tomato plant needs support.|Mila ties it more securely before work.|Nele points out its yellow flowers, where fruit may grow.|Mila locks the gate and heads to the bakery.
85|Mila and Sara share lunch behind the bakery.|Mila says she enjoys seeing small changes in the garden.|Gardening teaches her to wait and observe.|Sara recalls her grandmother's garden and considers visiting Saturday.
86|The friends harvest their first ripe radishes.|They wash vegetables of different shapes and sizes.|Mila saves some for Mr Weber to receive first.|The group eats the rest on bread and celebrates.
87|Anna visits Garden 17 after a long absence.|She says the garden photos mean a lot to her father.|Mila gives her fresh radishes and parsley for him.|Anna photographs the friends beside Mr Weber's old table.
88|Mila and Sara stay after the others leave.|They water and tidy the garden while talking about family.|Sara remembers feeling new and alone in Lindenstadt.|Mila realizes their friendship has grown beyond work.
89|Mila stays up too late after a busy weekend.|She struggles through her early bakery shift.|Mr King kindly reminds her that early work needs early sleep.|Mila skips the garden and rests that evening.
90|Mila limits garden trips to two free afternoons.|The group shares only essential tasks by message.|Mila shops ahead to free up her evenings.|Her new routine gives her energy for work and gardening.
91|Mila spots the first tiny green tomato.|Nele confirms it and reminds her to be patient.|Mila photographs the whole bed without disturbing the plant.|Mr Weber celebrates the news, and Mila records the date.
92|Mila helps Mrs Berg carry shopping upstairs.|Mrs Berg's hand hurts, so Mila puts the food away.|Mila cooks soup while Mrs Berg recalls arriving in the city.|Their conversation helps Mila think about what makes a place home.
93|Mila's mother phones to arrange a visit.|Mila imagines showing her the bakery, apartment and garden.|They choose Thursday afternoon and note the train time.|Sara offers cake, while Mila asks her mother to bring comfortable shoes.
94|Mr King gives Mila a new bakery planning task.|Sara helps her count what bread remains.|They record numbers to avoid too much or too little.|Mila notices that bakery work and gardening both need planning.
95|Mila welcomes her mother at the station.|They hug, and her mother notices how Mila has changed.|They ride to Rosenstraße, where Mrs Berg serves coffee.|Mila shows her room and the places she has described in stories.
96|Sara has saved apple cake for Mila and her mother.|Mr King tells her mother that Mila is doing well.|Mila shows the bakery while Sara serves customers.|Over coffee, her mother begins to picture Mila's daily life.
97|Mila shows her mother the plants in Garden 17.|They joke about how Mila once disliked weeding.|Mrs Albers describes what the team has achieved.|Her mother sees that Mila has found her place in Lindenstadt.
98|Mila sees her mother off at the station.|Her mother asks whether Mila wants to move home.|Mila thinks of her new friends, work and garden.|She chooses to stay and rides back without feeling lonely.
99|Jonas invites Mila and Sara over for dinner.|Sara jokes that he should put away his tool catalogue.|They share food and music without any gardening tasks.|Mila enjoys the friendship for its own sake.
100|Rain gives Mila a quiet morning without watering.|She drinks coffee among thriving plants and roses.|Garden 17 has become familiar since the day she found its number.|Mila writes that both the garden and she are growing.
101|A hot day at the bakery reminds Mila to drink water.|She waters dry soil and sees dark clouds near the gardens.|Nele warns of a storm, so they secure loose pots.|Mila checks the shed and tomato stakes before leaving.
102|Heavy rain begins while Mila is at home with Mrs Berg.|Wind shakes the trees and sends metal falling outside.|Mila worries about Garden 17 and messages her friends.|She waits until morning rather than going out in the storm.
103|Nele reports fallen branches at the Sonnenhof.|Mila must finish her bakery shift before visiting.|Sara offers to come help after work.|Jonas joins them, and they cycle carefully through storm debris.
104|Mr Brandt warns visitors about branches on the paths.|Mila finds a fallen apple branch and a toppled tomato.|Rain has entered through a damaged shed roof.|Sara comforts Mila as they face the damage one task at a time.
105|Mr Brandt stops them from using ladders before safety checks.|Mila, Sara and Nele clear small branches first.|Jonas rescues the tomato plant with a new stake.|They leave the dangerous branch and roof for later inspection.
106|Mila tells Anna and Mr Weber about the storm damage.|Mr Weber first asks whether anyone was hurt.|He asks them to consult Mrs Albers before cutting the tree.|Mila hears his calm reminder that weather can change plans.
107|Mr Brandt confirms that the shed walls are safe.|Mila finds wet papers and gloves inside.|Jonas covers the roof temporarily while the others dry tools.|They clean the shed again, using what they learned before.
108|Mrs Albers examines the fallen apple branch.|Cem helps cut it safely while Mila carries lighter pieces.|Mrs Albers trims a damaged rose and explains it may regrow.|Mila is relieved that the tree and roses can survive.
109|Neighbors bring coffee, tools and boards for the shed.|Mila is surprised by their unasked-for help.|Jonas and Cem repair the roof together with Mr Brandt's approval.|Mila and Sara assist from the ground and meet more neighbors.
110|The helpers share sandwiches, cucumbers and cherries.|They eat together between the two gardens.|Mr Brandt describes storm damage elsewhere in the Sonnenhof.|Mila realizes the neighbors can help one another in turn.
111|Jonas and Cem finish the shed roof repair.|Jonas hopes it will withstand the next ordinary rain.|Sara rehanges the board, and Mila writes about their progress.|Mila sends Mr Weber a photo of the repaired shed.
112|Mila checks the tomato plants after the storm.|One damaged fruit must go on the compost.|She feels sad until she notices new flowers on its plant.|Mrs Albers reminds her that growth includes occasional losses.
113|Mila has a calmer morning at the bakery.|She tells Mr King how the neighbors repaired the roof.|He recalls delivering rolls to past garden celebrations.|Mila remembers that the summer festival is approaching.
114|Anna says Mr Weber has studied the repair photos.|He sends a voice message thanking everyone for working together.|Mila shares it with the garden group.|She writes down the names of every helper.
115|The neighbors in Garden 12 still need help with their fence.|Mila holds a board while Jonas fixes it.|The couple offers tea and shares festival memories.|Mila learns that helping neighbors is not something to count.
116|Mrs Albers shows Mila a fresh shoot on the damaged rose.|The apple tree and its cut branch are recovering.|Mila sees healthy tomatoes and parsley growing again.|She takes parsley home to share with Mrs Berg.
117|The friends finally plan a small summer festival contribution.|Sara can ask the bakery for bread, while others prepare chairs and herbs.|They consider serving simple bread with a herb spread.|They choose a modest table about the garden's story.
118|Sara and Mila ask Mr King about festival bread.|He offers discounted rolls if they order a week ahead.|He also lends cloth napkins for their table.|Mila lists the practical jobs, including safe food handling.
119|Garden 17 looks tidy two weeks after the storm.|The plants keep growing, and Jonas repairs another chair.|Mila tells Nele how hopeless the first hour felt.|Nele reminds her that she had help, and repairs need not be hidden.
120|Mila remembers finding the mysterious key in her bicycle basket.|Since then she has met friends and survived a garden storm.|The garden has become a place that brings people together.|On her walk home, Lindenstadt feels more familiar.
121|Anna says her father hopes to visit the garden before the festival.|Mila considers the long path and his wheelchair needs.|They compare busy schedules to find a suitable day.|They choose Sunday afternoon and plan a safe route.
122|Mila and Mr Brandt inspect wheelchair access to Garden 17.|A wide delivery gate offers an easier, firmer path.|Mr Brandt can let Anna's car approach the yellow house.|Mr Weber is relieved to hear the walk will be short.
123|Mila starts a long list to make the garden perfect.|Jonas and Sara remind her that Mr Weber knows his own garden.|Mila cuts the list down to what is useful and safe.|They focus on the path, chairs, drinks and his preferences.
124|Mr Weber asks for simple bread with tomato.|The garden's first tomato is only beginning to turn red.|He recalls eating bread and tomatoes at the old table.|Mila plans a modest meal with tea and water.
125|Mila finds no water at the garden tap.|Nele confirms nearby gardens have the same problem.|Mr Brandt says a broken pipe cannot be fixed until Monday.|The hot weekend makes watering the young tomatoes urgent.
126|The group arrives early to fetch water from a distant tap.|Jonas uses a bicycle trailer while Mila and Sara carry cans.|They give water to the vegetables and roses but leave the lawn.|The heavy trips make everyone appreciate a working tap.
127|Nele offers rainwater stored in her garden.|Mila checks that Nele has enough for her own plants.|They share the water carefully between their gardens.|By evening the plants are safe, including the ripening tomato.
128|Mila tells Mr Weber about the water problem and the help.|He asks about a rain barrel he once owned.|They recall the garden's recent repairs and harvest.|Mr Weber looks forward to seeing the garden in person.
129|Workers repair the pipe near the communal house.|Nele announces that water is running again.|Mila confirms the tap at Garden 17 works and fills a can.|She shares water with Nele and alerts the group.
130|A changed work schedule overlaps Mr Weber's planned visit.|Mila does not want to abandon either commitment.|She asks Sara and Mr King about exchanging shifts.|The swap lets Mila welcome Mr Weber without missing work.
131|Mila finds a tomato almost ready to pick.|Mrs Albers says it should be ripe for the visit.|They protect it lightly from birds.|Mila leaves it as a surprise for Mr Weber.
132|Mila brings bread home after her exchanged bakery shift.|Jonas cleans the old table without hiding its age.|Sara and Mrs Albers add napkins and two flowers.|They check that Mr Weber's wheelchair fits beside the table.
133|Mila prepares the path, chairs and water, then rests.|She returns as Mr Brandt opens the wider gate.|Anna messages that they are on their way.|A car arrives slowly, and Mila waits near the garden.
134|Anna helps Mr Weber from the car into his wheelchair.|He is quiet as Jonas and Sara guide him inside.|Mrs Albers greets him with a joke.|The laughter relaxes everyone as he reaches his old table.
135|Mr Weber wants to tour the garden before eating.|He inspects the repaired shed roof and hears who helped.|He recognizes Mrs Albers's careful work on the roses.|The vegetables and painted stones bring more memories.
136|Mila shows Mr Weber the tomato saved for him.|He cuts the ripe fruit himself from his wheelchair.|Mila serves it on bread with a little salt.|Mr Weber enjoys the taste of Garden 17 again.
137|Mr Weber remembers early mornings in the garden.|Mrs Albers and Jonas ask about old plants and the bicycle.|He recalls carrying all kinds of things in its blue basket.|Mila sees how their new story connects with his past.
138|Mila asks whether Mr Weber hopes to attend the festival.|He would come if he feels well and travel is manageable.|He wants a quiet seat, without special attention.|He suggests labeling the herbs grown in Garden 17.
139|Mr Weber grows tired, and the group respects that.|He asks to stop beside the old apple tree.|He encourages the others to keep caring for one another.|They help him leave comfortably after a meaningful visit.
140|Mila tidies the table after everyone has gone.|The quiet garden feels different now that Mr Weber has returned.|She records the visit, water repair and festival plans.|At home she shares the happy news with Mrs Berg.
141|A poster announces the summer festival in three weeks.|Mila shifts from plant care to planning food and guests.|Sara suggests a manageable number of small breads.|They settle on forty portions so the festival stays enjoyable.
142|Mila and Sara request forty plain rolls from Mr King.|He sets a Thursday deadline for the order.|They agree on a discounted price and plan to share the cost.|Jonas will bring drinks, and the bread can be collected fresh.
143|Mila and Mrs Albers check how many herbs are growing.|Mila decides to welcome herbs shared by neighbors too.|She changes the proposed sign to thank both gardens.|They plan to buy extra tomatoes because their own are insufficient.
144|Jonas repairs three mismatched but sturdy old chairs.|He smooths a rough backrest while Mila helps.|They choose to keep the chairs' familiar worn look.|They check every screw and reserve extra folding chairs.
145|Mila writes the festival tasks on the shed board.|She leaves names open so everyone can choose work together.|Sara and Jonas add reminders to rest and eat.|Mila accepts that a good plan leaves room for fun.
146|Mr Brandt explains the festival plan to the gardeners.|There will be music, children's planting and open gardens.|Mila offers to make signs guiding visitors to Garden 17.|She notes safety rules for paths, cables and drinking water.
147|Mila makes direction signs at Mrs Berg's kitchen table.|Mrs Berg suggests drawing a blue bicycle basket on them.|The basket honors the bicycle that began the story.|They reuse cardboard and make the drawings easy to recognize.
148|Mila invites her mother to the summer festival.|Her mother can arrive by train in the afternoon.|Mrs Berg hesitates because she dislikes big festivals.|She may visit briefly to see the garden for herself.
149|Anna asks whether Mr Weber could rest somewhere quiet.|Mr Brandt identifies an accessible room near the delivery gate.|Mila sends Anna a map and says he may leave whenever needed.|The plan makes the festival more comfortable for him.
150|Sara brings a herb spread for Mila to taste.|They adjust the recipe because the chives are too strong.|They will prepare it fresh and keep it cool.|Mila plans to serve small batches away from the sun.
151|The friends calculate the table's modest costs.|Sara suggests a donation box to help pay for them.|Mr Brandt permits clearly labeled voluntary donations.|They decide any gifts will support seeds and small repairs.
152|Jonas wants the table near the gate; Mila prefers shade.|Sara notes that the gate is too narrow for crowds.|They test both locations and choose the apple tree.|They settle the question calmly, with room for visitors.
153|The group rehearses the festival layout.|They place chairs, a sign, water and sample dishes.|Nele pretends to be a visitor and asks practical questions.|They borrow a second table to separate food from seating.
154|Mila counts the tomatoes turning red.|She plans to share a few and save others for the festival.|Mrs Albers reminds her that fruit ripens in its own time.|Market tomatoes will make up the difference if needed.
155|A large order makes the bakery unusually busy.|Mila postpones garden signs and stays to help.|Mr King arranges convenient collection of festival bread.|Sara checks the garden while Mila works, linking their two worlds.
156|Anna delivers a handwritten card from Mr Weber.|He thanks the team for reopening Garden 17.|The friends decide to keep the message private.|Mila stores the card among her garden notes.
157|Mila and Jonas put up signs marked with a blue basket.|Sara and Mrs Albers cut herbs without exhausting the plants.|Nele brings optional lights for the evening.|The busy gardens make the approaching festival feel real.
158|Mila buys ingredients for one last herb-spread test.|Mrs Berg tastes it and promises to visit the festival.|Mila packs plates, knives and napkins ahead of time.|She feels a little nervous with one week left.
159|Mila and Sara work an early bakery shift.|Mr King shows how forty small rolls will be packed.|After work, Mila joins the friends for a festival rehearsal.|They fix a wobbly table and confirm the layout works.
160|The group reviews the few jobs still open.|Mr Brandt says music and children's activities are arranged.|Mila sees that the garden is ready enough.|With a week to go, she carries the old key home.
161|Mila's mother mentions a bakery job in their home village.|The owner asks whether Mila might be interested.|Returning would mean family nearby and lower living costs.|Mila realizes she would also leave new friends and Garden 17.
162|Mr King invites Mila to discuss her expiring contract.|He offers her another year at the bakery.|Mila welcomes the offer but asks until Monday to decide.|She takes a copy home and weighs it against the village job.
163|Mila lists the practical benefits of each place.|The village offers family and lower costs; the city offers independence.|Mrs Berg listens without choosing for her.|She advises Mila that no place is perfect.
164|Mila tells Sara about the two possible jobs.|Sara asks what Mila would miss in each place.|Mila values her family, but also her new friendships and garden.|Sara promises their friendship can continue even if Mila leaves.
165|Mila finds unexpected water on the garden path.|Mr Brandt explains that another main pipe has broken.|Repairs may last through the hot days before the festival.|Mila worries about the plants and the event.
166|Stored rainwater cannot supply every affected garden.|Mr Brandt calls a meeting to ration available water.|Sensitive plants come first, while lawns must wait.|Mila sets festival preparations aside to protect Garden 17.
167|Jonas borrows clean water containers from his workshop.|The friends fill and carry them from home.|They water the tomatoes and young radishes at their roots.|Mrs Albers explains which older plants can wait.
168|Mila helps Garden 12 instead of checking festival signs.|Gardeners share trailers, cars and water-carrying jobs.|Mr Brandt identifies neighbors who cannot lift heavy containers.|Mila sees the community helping again, just as after the storm.
169|Mr Lorenz calls Mila about the village bakery job.|He explains the hours and asks for an answer by Tuesday.|Mila records the details beside her city contract.|She realizes both offers are good possibilities.
170|Mila tells Jonas about her choice while he loads water.|He reminds her how much she has learned since moving.|He says there may be more than one good decision.|Their short talk gives Mila another way to think about the future.
171|A second broken pipe delays water restoration.|The festival can still use the communal house's facilities.|Mila prepares extra water and cleaning supplies instead of decorations.|Sara emphasizes safe drinking water and clean food handling.
172|Mila wonders who will care for the tomatoes if she leaves.|She knows the garden belongs to Mr Weber, not to her.|Still, she has come to enjoy taking responsibility there.|She realizes that both the village and Lindenstadt now matter to her.
173|Mila asks her mother whether staying in Lindenstadt would hurt her.|Her mother misses her but refuses to choose her job.|Mila says she has built something important in the city.|Her mother's support eases the decision.
174|Mila wakes early on the festival morning and checks for news.|Mr King leaves her job decision for Monday as promised.|Mr Brandt says the water repair is nearly finished.|The bakery prepares forty fresh rolls while Mila grows nervous.
175|Mr Brandt confirms the water is running again.|Mila and Sara reach the gardens after their shift.|The tap works, though the plants already have enough water.|Everyone agrees to continue using water sparingly.
176|Jonas returns borrowed containers while the food is prepared.|The team uses clean drinking water and keeps the spread cool.|Neighbors add modest flowers and a voluntary donation box.|The paths, chairs and first portions are ready before opening.
177|Mila sits alone with notes about her two job offers.|She looks at the board listing months of garden work.|The finished tasks remind her how many people helped.|She postpones the decision for today, though her preference is clearer.
